iucn_rgn_name,rgn_id,ohi_rgn_name
Puerto Rico and Virgin Islands of the United States,NA,Puerto Rico and Virgin Islands of the United States
"Virgin Islands, U.S.",NA,Puerto Rico and Virgin Islands of the United States
Qatar,NA,Qatar
Réunion,NA,Reunion
Congo,NA,Republique du Congo
Republique du Congo,NA,Republique du Congo
Re̩union,NA,Reunion
Romania,NA,Romania
Russia,4,Russia
Russian Federation,4,Russia
"Bonaire, Sint Eustatius and Saba",NA,Saba
Saba,NA,Saba
Saint Helena,NA,Saint Helena
"Saint Helena, Ascension and Tristan da Cunha",NA,Saint Helena
Saint Kitts and Nevis,NA,Saint Kitts and Nevis
Saint Lucia,NA,Saint Lucia
Saint Pierre and Miquelon,NA,Saint Pierre and Miquelon
Saint Vincent and the Grenadines,NA,Saint Vincent and the Grenadines
Samoa,NA,Samoa
Sao Tomé and Principe,NA,Sao Tome and Principe
Sao Tome and Principe,NA,Sao Tome and Principe
Saudi Arabia,NA,Saudi Arabia
Senegal,NA,Senegal
Seychelles,NA,Seychelles
Sierra Leone,NA,Sierra Leone
Singapore,NA,Singapore
"Bonaire, Sint Eustatius and Saba",NA,Sint Eustatius
Sint Eustatius,NA,Sint Eustatius
Sint Maarten,NA,Sint Maarten
Sint Maarten (Dutch part),NA,Sint Maarten
Slovenia,NA,Slovenia
Solomon Islands,NA,Solomon Islands
Somalia,NA,Somalia
South Africa,NA,South Africa
South Georgia and the South Sandwich Islands,NA,South Georgia and the South Sandwich Islands
"Korea, Republic of",NA,South Korea
South Korea,NA,South Korea
Spain,NA,Spain
Sri Lanka,NA,Sri Lanka
Sudan,NA,Sudan
Suriname,NA,Suriname
Sweden,NA,Sweden
Syria,NA,Syria
Syrian Arab Republic,NA,Syria
Taiwan,NA,Taiwan
"Taiwan, Province of China",NA,Taiwan
Tanzania,NA,Tanzania
"Tanzania, United Republic of",NA,Tanzania
Thailand,NA,Thailand
Togo,NA,Togo
Tokelau,NA,Tokelau
Tonga,NA,Tonga
Trinidad and Tobago,NA,Trinidad and Tobago
"Saint Helena, Ascension and Tristan da Cunha",NA,Tristan da Cunha
Tristan da Cunha,NA,Tristan da Cunha
Tunisia,NA,Tunisia
Turkey,NA,Turkey
Turks and Caicos Islands,NA,Turks and Caicos Islands
Tuvalu,NA,Tuvalu
Ukraine,NA,Ukraine
United Arab Emirates,NA,United Arab Emirates
Isle of Man,NA,United Kingdom
United Kingdom,NA,United Kingdom
United States,1,Alaska
Uruguay,NA,Uruguay
Vanuatu,NA,Vanuatu
Venezuela,NA,Venezuela
"Venezuela, Bolivarian Republic of",NA,Venezuela
Viet Nam,NA,Vietnam
Vietnam,NA,Vietnam
United States Minor Outlying Islands,NA,Wake Island
Wake Island,NA,Wake Island
Wallis and Futuna,NA,Wallis and Futuna
Western Sahara,NA,Western Sahara
Yemen,NA,Yemen
Disputed Territory,NA,Disputed Territory
