"","am_sid","am_cat","sciname","iucn_sid","pop_trend","pop_cat","spp_group","id_no","iucn_subpop","spatial_source","cat_score","trend_score"
"678","Rep-4381","VU","Dermochelys coriacea",46967807,"Decreasing","CR","REPTILES_update",46967807,"East Pacific","iucn",0.8,-0.5
"684","Rep-4381","VU","Dermochelys coriacea",46967838,"Increasing","CR","REPTILES_update",46967838,"Southwest Atlantic","iucn",0.8,0.5
"690","ITS-Mam-621916","NT","Lutra lutra",12419,"Decreasing","NT","TERRESTRIAL_MAMMALS",12419,NA,"iucn",0.2,-0.5
"693","Fis-22818","LC","Sarda sarda",155096,"Stable","LC","TUNAS_BILLFISHES",155096,NA,"iucn",0,0
"695","Fis-29508","LC","Scomber scombrus",170354,"Decreasing","LC","TUNAS_BILLFISHES",170354,NA,"iucn",0,-0.5
"700","Fis-49220","EN","Thunnus thynnus",170341,"Decreasing","VU","TUNAS_BILLFISHES",170341,NA,"iucn",0.4,-0.5
"701","Fis-49220","EN","Thunnus thynnus",21860,"Decreasing","EN","TUNAS_BILLFISHES",21860,NA,"iucn",0.6,-0.5
"702","Fis-22735","LC","Acanthocybium solandri",170331,"Stable","LC","TUNAS_BILLFISHES",170331,NA,"iucn",0,0
"704","Fis-22745","LC","Centrolabrus exoletus",187803,"Unknown","LC","WRASSE",187803,NA,"iucn",0,NA
"708","Fis-29425","LC","Labrus bergylta",187398,"Unknown","LC","WRASSE",187398,NA,"iucn",0,NA
"709","Fis-3208","LC","Labrus mixtus",187397,"Stable","LC","WRASSE",187397,NA,"iucn",0,0
"710","Fis-27320","LC","Symphodus bailloni",187522,"Unknown","LC","WRASSE",187522,NA,"iucn",0,NA
"711","Fis-24399",NA,"Acantholumpenus mackayi",NA,NA,NA,NA,NA,NA,"am",NA,NA
"716","Fis-29593","CR","Acipenser sturio",230,"Decreasing","CR",NA,NA,NA,"am",0.8,-0.5
"719","Fis-22710",NA,"Agonus cataphractus",18227168,"Increasing","LC",NA,NA,NA,"am",0,0.5
"723","Fis-23895",NA,"Ahlia egmontis",199311,"Unknown","LC",NA,NA,NA,"am",0,NA
"724","Fis-29601",NA,"Alepisaurus brevirostris",60469186,"Unknown","LC",NA,NA,NA,"am",0,NA
"727","Fis-29263","LC","Alepisaurus ferox",154820,"Unknown","LC",NA,NA,NA,"am",0,NA
"733","Fis-33231",NA,"Alepocephalus agassizii",15147715,"Unknown","LC",NA,NA,NA,"am",0,NA
"735","Fis-29264",NA,"Alepocephalus bairdii",15147740,"Unknown","DD",NA,NA,NA,"am",NA,NA
"737","Fis-23899","VU","Alopias vulpinus",39339,"Decreasing","VU",NA,NA,NA,"am",0.4,-0.5
"742","Fis-131852","LC","Amblyraja hyperborea",63119,"Unknown","LC",NA,NA,NA,"am",0,NA
"751","Fis-131855","LC","Amblyraja jenseni",161491,"Unknown","LC",NA,NA,NA,"am",0,NA
"755","Fis-131853","VU","Amblyraja radiata",161542,"Decreasing","VU",NA,NA,NA,"am",0.4,-0.5
"762","Fis-29618",NA,"Ammodytes americanus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"763","Fis-29619",NA,"Ammodytes dubius",NA,NA,NA,NA,NA,NA,"am",NA,NA
"769","Fis-29620",NA,"Ammodytes hexapterus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"770","Fis-29267",NA,"Ammodytes marinus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"775","Fis-29269",NA,"Ammodytes tobianus",18155960,"Unknown","DD",NA,NA,NA,"am",NA,NA
"776","Fis-29624",NA,"Anarhichas denticulatus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"783","Fis-29625",NA,"Anarhichas lupus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"790","Fis-29626",NA,"Anarhichas minor",NA,NA,NA,NA,NA,NA,"am",NA,NA
"797","Fis-29627",NA,"Anarhichas orientalis",NA,NA,NA,NA,NA,NA,"am",NA,NA
"801","Fis-29628",NA,"Anarrhichthys ocellatus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"805","Fis-22711","CR","Anguilla anguilla",60344,"Decreasing","CR",NA,NA,NA,"am",0.8,-0.5
"811","Fis-22845","EN","Anguilla rostrata",191108,"Decreasing","EN",NA,NA,NA,"am",0.6,-0.5
"812","Fis-24753",NA,"Anisarchus medius",NA,NA,NA,NA,NA,NA,"am",NA,NA
"821","Fis-23904",NA,"Anoplogaster cornuta",18123960,"Unknown","LC",NA,NA,NA,"am",0,NA
"823","Fis-148363",NA,"Anotopterus nikparini",NA,NA,NA,NA,NA,NA,"am",NA,NA
"824","Fis-29641",NA,"Anotopterus pharao",18123632,"Unknown","LC",NA,NA,NA,"am",0,NA
"826","Fis-23905",NA,"Antimora rostrata",190385,"Unknown","LC",NA,NA,NA,"am",0,NA
"828","Fis-29275",NA,"Aphanopus carbo",NA,NA,NA,NA,NA,NA,"am",NA,NA
"834","Fis-22712",NA,"Aphia minuta",NA,NA,NA,NA,NA,NA,"am",NA,NA
"835","Fis-23002","DD","Apristurus laurussonii",44216,"Unknown","DD",NA,NA,NA,"am",NA,NA
"838","Fis-23005","LC","Apristurus microps",44657,"Unknown","LC",NA,NA,NA,"am",0,NA
"841","Fis-23375",NA,"Arctogadus glacialis",NA,NA,NA,NA,NA,NA,"am",NA,NA
"849","Fis-136946",NA,"Arctozenus risso",194997,"Unknown","LC",NA,NA,NA,"am",0,NA
"858","Fis-23914",NA,"Argentina silus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"865","Fis-29289",NA,"Argentina sphyraena",NA,NA,NA,NA,NA,NA,"am",NA,NA
"866","Fis-32104","LC","Argyropelecus hemigymnus",154998,"Stable","LC",NA,NA,NA,"am",0,0
"868","Fis-7929",NA,"Argyropelecus olfersii",NA,NA,NA,NA,NA,NA,"am",NA,NA
"870","Fis-30763",NA,"Artediellus atlanticus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"877","Fis-30764",NA,"Artediellus scaber",NA,NA,NA,NA,NA,NA,"am",NA,NA
"886","Fis-24436",NA,"Artediellus uncinatus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"895","Fis-24441",NA,"Aspidophoroides monopterygius",NA,NA,NA,NA,NA,NA,"am",NA,NA
"900","Fis-30771",NA,"Aspidophoroides olrikii",NA,NA,NA,NA,NA,NA,"am",NA,NA
"909","Fis-34776",NA,"Astronesthes gemmifer",18256447,"Unknown","DD",NA,NA,NA,"am",NA,NA
"911","Fis-27598",NA,"Bajacalifornia megalops",15147816,"Unknown","LC",NA,NA,NA,"am",0,NA
"913","Fis-28109",NA,"Barbantus curvifrons",18155933,"Unknown","LC",NA,NA,NA,"am",0,NA
"919","Fis-30920",NA,"Barbourisia rufa",21110276,"Unknown","LC",NA,NA,NA,"am",0,NA
"925","Fis-34857",NA,"Bathylagus euryops",NA,NA,NA,NA,NA,NA,"am",NA,NA
"932","Fis-29728",NA,"Bathymaster signatus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"936","Fis-33202","LC","Bathypterois dubius",13462751,"Unknown","LC",NA,NA,NA,"am",0,NA
"937","Fis-24311","LC","Bathyraja parmifera",161471,"Unknown","LC",NA,NA,NA,"am",0,NA
"941","Fis-15353","NT","Bathyraja spinicauda",161366,"Unknown","NT",NA,NA,NA,"am",0.2,NA
"948","Fis-34863",NA,"Bathysaurus ferox",13462491,"Unknown","LC",NA,NA,NA,"am",0,NA
"951","Fis-49913",NA,"Benthalbella infans",13485675,"Unknown","LC",NA,NA,NA,"am",0,NA
"957","Fis-27051",NA,"Benthodesmus simonyi",NA,NA,NA,NA,NA,NA,"am",NA,NA
"958","Fis-22718",NA,"Benthosema glaciale",198611,"Stable","LC",NA,NA,NA,"am",0,0
"965","Fis-29731",NA,"Beryx decadactylus",198578,"Unknown","LC",NA,NA,NA,"am",0,NA
"970","Fis-22850",NA,"Boreogadus saida",NA,NA,NA,NA,NA,NA,"am",NA,NA
"979","Fis-25455",NA,"Borostomias antarcticus",198762,"Unknown","LC",NA,NA,NA,"am",0,NA
"981","Fis-22852",NA,"Brama brama",195091,"Unknown","LC",NA,NA,NA,"am",0,NA
"983","Fis-22740",NA,"Brosme brosme",NA,NA,NA,NA,NA,NA,"am",NA,NA
"989","Fis-22741",NA,"Buenia jeffreysii",18159126,"Unknown","LC",NA,NA,NA,"am",0,NA
"990","Fis-29750",NA,"Callechelys muraena",199390,"Unknown","LC",NA,NA,NA,"am",0,NA
"991","Fis-156828",NA,"Careproctus longipinnis",NA,NA,NA,NA,NA,NA,"am",NA,NA
"997","Fis-149190",NA,"Careproctus ranula",NA,NA,NA,NA,NA,NA,"am",NA,NA
"999","Fis-48011",NA,"Careproctus reinhardti",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1006","Fis-167420",NA,"Caristius fasciatus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1007","Fis-53389",NA,"Caulophryne jordani",190447,"Unknown","LC",NA,NA,NA,"am",0,NA
"1013","Fis-22856",NA,"Centrolophus niger",198571,"Unknown","LC",NA,NA,NA,"am",0,NA
"1018","Fis-23076","VU","Centrophorus squamosus",41871,"Decreasing","VU",NA,NA,NA,"am",0.4,-0.5
"1019","Fis-23078","LC","Centroscyllium fabricii",161521,"Unknown","LC",NA,NA,NA,"am",0,NA
"1022","Fis-29328","NT","Centroscymnus coelolepis",41747,"Unknown","NT",NA,NA,NA,"am",0.2,NA
"1028","Fis-23074","LC","Centroscymnus crepidater",46864,"Unknown","LC",NA,NA,NA,"am",0,NA
"1029","Fis-50569",NA,"Ceratias uranoscopus",21112879,"Unknown","LC",NA,NA,NA,"am",0,NA
"1035","Fis-23087",NA,"Ceratoscopelus maderensis",198612,"Unknown","LC",NA,NA,NA,"am",0,NA
"1041","Fis-22747","VU","Cetorhinus maximus",4292,"Decreasing","VU",NA,NA,NA,"am",0.4,-0.5
"1047","Fis-29801",NA,"Chauliodus sloani",190324,"Unknown","LC",NA,NA,NA,"am",0,NA
"1052","Fis-148881","LC","Chilomycterus schoepfii",155166,"Unknown","LC",NA,NA,NA,"am",0,NA
"1053","Fis-29808","NT","Chimaera monstrosa",63114,"Stable","NT",NA,NA,NA,"am",0.2,0
"1056","Fis-22749",NA,"Chirolophis ascanii",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1061","Fis-29338","NT","Chlamydoselachus anguineus",41794,"Unknown","NT",NA,NA,NA,"am",0.2,NA
"1065","Fis-23439",NA,"Ciliata mustela",18125362,"Unknown","LC",NA,NA,NA,"am",0,NA
"1066","Fis-23440",NA,"Ciliata septentrionalis",18125379,"Unknown","LC",NA,NA,NA,"am",0,NA
"1067","Fis-29344","LC","Clupea harengus",155123,"Increasing","LC",NA,NA,NA,"am",0,0.5
"1073","Fis-153539",NA,"Clupea pallasii pallasii",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1079","Fis-161966","DD","Coelorinchus caelorhincus",198775,"Unknown","LC",NA,NA,NA,"am",0,NA
"1081","Fis-22866",NA,"Conger conger",194969,"Increasing","LC",NA,NA,NA,"am",0,0.5
"1083","Fis-48198","LC","Coregonus autumnalis",NA,NA,"LC",NA,NA,NA,"am",0,NA
"1091","Fis-52418","VU","Coregonus lavaretus",NA,NA,"VU",NA,NA,NA,"am",0.4,NA
"1095","Fis-29858","LC","Coregonus sardinella",NA,NA,"LC",NA,NA,NA,"am",0,NA
"1102","Fis-25475",NA,"Coryphaenoides armatus",18125776,"Unknown","LC",NA,NA,NA,"am",0,NA
"1104","Fis-63101",NA,"Coryphaenoides brevibarbis",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1107","Fis-50737",NA,"Coryphaenoides carapinus",NA,NA,NA,NA,NA,NA,"am",NA,NA
"1112","Fis-26887",NA,"Coryphaenoides guentheri",198594,"Unknown","LC",NA,NA,NA,"am",0,NA
"1114","Fis-50841",NA,"Coryphaenoides leptolepis",15522140,"Unknown","LC",NA,NA,NA,"am",0,NA
"1116","Fis-26886",NA,"Coryphaenoides mediterraneus",198595,"Unknown","LC",NA,NA,NA,"am",0,NA
