am_sid,am_cat,sciname,iucn_sid,pop_trend,pop_cat,spp_group,id_no,iucn_subpop,spatial_source,cat_score,trend_score,rgn_id,rgn_name
ITS-177025,LC,Fratercula arctica,22694927,Decreasing,VU,BOTW,22694927,NA,iucn-bli,0.4,-0.5,6,norway
ITS-177025,LC,Fratercula arctica,22694927,Decreasing,VU,BOTW,22694927,NA,iucn-bli,0.4,-0.5,7,Jan Mayen
ITS-177025,LC,Fratercula arctica,22694927,Decreasing,VU,BOTW,22694927,NA,iucn-bli,0.4,-0.5,8,west
ITS-177025,LC,Fratercula arctica,22694927,Decreasing,VU,BOTW,22694927,NA,iucn-bli,0.4,-0.5,9,east
ITS-177032,LC,Fratercula cirrhata,22694934,Decreasing,LC,BOTW,22694934,NA,iucn-bli,0,-0.5,1,Alaska
ITS-177032,LC,Fratercula cirrhata,22694934,Decreasing,LC,BOTW,22694934,NA,iucn-bli,0,-0.5,4,Russia
SLB-40185,LC,Fratercula corniculata,22694931,Decreasing,LC,BOTW,22694931,NA,iucn-bli,0,-0.5,1,Alaska
SLB-40185,LC,Fratercula corniculata,22694931,Decreasing,LC,BOTW,22694931,NA,iucn-bli,0,-0.5,2,Nunavut
SLB-40185,LC,Fratercula corniculata,22694931,Decreasing,LC,BOTW,22694931,NA,iucn-bli,0,-0.5,3,Beaufort Sea
SLB-40185,LC,Fratercula corniculata,22694931,Decreasing,LC,BOTW,22694931,NA,iucn-bli,0,-0.5,4,Russia
ITS-174763,LC,Fregata magnificens,22697724,Increasing,LC,BOTW,22697724,NA,iucn-bli,0,0.5,4,Russia
ITS-174763,LC,Fregata magnificens,22697724,Increasing,LC,BOTW,22697724,NA,iucn-bli,0,0.5,5,svalbard
ITS-174763,LC,Fregata magnificens,22697724,Increasing,LC,BOTW,22697724,NA,iucn-bli,0,0.5,6,norway
ITS-174763,LC,Fregata magnificens,22697724,Increasing,LC,BOTW,22697724,NA,iucn-bli,0,0.5,7,Jan Mayen
ITS-174763,LC,Fregata magnificens,22697724,Increasing,LC,BOTW,22697724,NA,iucn-bli,0,0.5,8,west
ITS-174763,LC,Fregata magnificens,22697724,Increasing,LC,BOTW,22697724,NA,iucn-bli,0,0.5,9,east
ITS-174536,LC,Fulmarus glacialis,22697866,Increasing,LC,BOTW,22697866,NA,iucn-bli,0,0.5,1,Alaska
ITS-174536,LC,Fulmarus glacialis,22697866,Increasing,LC,BOTW,22697866,NA,iucn-bli,0,0.5,2,Nunavut
ITS-174536,LC,Fulmarus glacialis,22697866,Increasing,LC,BOTW,22697866,NA,iucn-bli,0,0.5,3,Beaufort Sea
ITS-174536,LC,Fulmarus glacialis,22697866,Increasing,LC,BOTW,22697866,NA,iucn-bli,0,0.5,4,Russia
ITS-174536,LC,Fulmarus glacialis,22697866,Increasing,LC,BOTW,22697866,NA,iucn-bli,0,0.5,5,svalbard
ITS-174536,LC,Fulmarus glacialis,22697866,Increasing,LC,BOTW,22697866,NA,iucn-bli,0,0.5,6,norway
ITS-174536,LC,Fulmarus glacialis,22697866,Increasing,LC,BOTW,22697866,NA,iucn-bli,0,0.5,7,Jan Mayen
ITS-174536,LC,Fulmarus glacialis,22697866,Increasing,LC,BOTW,22697866,NA,iucn-bli,0,0.5,8,west
ITS-174536,LC,Fulmarus glacialis,22697866,Increasing,LC,BOTW,22697866,NA,iucn-bli,0,0.5,9,east
ITS-176882,LC,Gelochelidon nilotica,62026481,Decreasing,LC,BOTW,62026481,NA,iucn-bli,0,-0.5,4,Russia
ITS-176882,LC,Gelochelidon nilotica,62026481,Decreasing,LC,BOTW,62026481,NA,iucn-bli,0,-0.5,6,norway
ITS-176882,LC,Gelochelidon nilotica,62026481,Decreasing,LC,BOTW,62026481,NA,iucn-bli,0,-0.5,9,east
ITS-175149,LC,Histrionicus histrionicus,22680423,Increasing,LC,BOTW,22680423,NA,iucn-bli,0,0.5,1,Alaska
ITS-175149,LC,Histrionicus histrionicus,22680423,Increasing,LC,BOTW,22680423,NA,iucn-bli,0,0.5,2,Nunavut
ITS-175149,LC,Histrionicus histrionicus,22680423,Increasing,LC,BOTW,22680423,NA,iucn-bli,0,0.5,3,Beaufort Sea
ITS-175149,LC,Histrionicus histrionicus,22680423,Increasing,LC,BOTW,22680423,NA,iucn-bli,0,0.5,4,Russia
ITS-175149,LC,Histrionicus histrionicus,22680423,Increasing,LC,BOTW,22680423,NA,iucn-bli,0,0.5,5,svalbard
ITS-175149,LC,Histrionicus histrionicus,22680423,Increasing,LC,BOTW,22680423,NA,iucn-bli,0,0.5,6,norway
ITS-175149,LC,Histrionicus histrionicus,22680423,Increasing,LC,BOTW,22680423,NA,iucn-bli,0,0.5,7,Jan Mayen
ITS-175149,LC,Histrionicus histrionicus,22680423,Increasing,LC,BOTW,22680423,NA,iucn-bli,0,0.5,9,east
ITS-176935,LC,Hydroprogne caspia,22694524,Increasing,LC,BOTW,22694524,NA,iucn-bli,0,0.5,8,west
ITS-176824,LC,Larus argentatus,62030608,Decreasing,LC,BOTW,62030608,NA,iucn-bli,0,-0.5,1,Alaska
ITS-176824,LC,Larus argentatus,62030608,Decreasing,LC,BOTW,62030608,NA,iucn-bli,0,-0.5,2,Nunavut
ITS-176824,LC,Larus argentatus,62030608,Decreasing,LC,BOTW,62030608,NA,iucn-bli,0,-0.5,3,Beaufort Sea
ITS-176824,LC,Larus argentatus,62030608,Decreasing,LC,BOTW,62030608,NA,iucn-bli,0,-0.5,4,Russia
ITS-176824,LC,Larus argentatus,62030608,Decreasing,LC,BOTW,62030608,NA,iucn-bli,0,-0.5,5,svalbard
ITS-176824,LC,Larus argentatus,62030608,Decreasing,LC,BOTW,62030608,NA,iucn-bli,0,-0.5,6,norway
ITS-176824,LC,Larus argentatus,62030608,Decreasing,LC,BOTW,62030608,NA,iucn-bli,0,-0.5,7,Jan Mayen
ITS-176824,LC,Larus argentatus,62030608,Decreasing,LC,BOTW,62030608,NA,iucn-bli,0,-0.5,8,west
ITS-176824,LC,Larus argentatus,62030608,Decreasing,LC,BOTW,62030608,NA,iucn-bli,0,-0.5,9,east
ITS-560740,NA,Larus armenicus,22694357,Unknown,NT,BOTW,22694357,NA,iucn-bli,0.2,NA,1,Alaska
ITS-560740,NA,Larus armenicus,22694357,Unknown,NT,BOTW,22694357,NA,iucn-bli,0.2,NA,4,Russia
ITS-560740,NA,Larus armenicus,22694357,Unknown,NT,BOTW,22694357,NA,iucn-bli,0.2,NA,5,svalbard
ITS-560740,NA,Larus armenicus,22694357,Unknown,NT,BOTW,22694357,NA,iucn-bli,0.2,NA,6,norway
ITS-560740,NA,Larus armenicus,22694357,Unknown,NT,BOTW,22694357,NA,iucn-bli,0.2,NA,7,Jan Mayen
ITS-560740,NA,Larus armenicus,22694357,Unknown,NT,BOTW,22694357,NA,iucn-bli,0.2,NA,9,east
ITS-176837,LC,Larus atricilla,22694455,Increasing,LC,BOTW,22694455,NA,iucn-bli,0,0.5,4,Russia
ITS-176837,LC,Larus atricilla,22694455,Increasing,LC,BOTW,22694455,NA,iucn-bli,0,0.5,8,west
ITS-554270,LC,Larus cachinnans,22735929,Stable,LC,BOTW,22735929,NA,iucn-bli,0,0,4,Russia
ITS-554270,LC,Larus cachinnans,22735929,Stable,LC,BOTW,22735929,NA,iucn-bli,0,0,6,norway
ITS-176832,LC,Larus canus,22694308,Unknown,LC,BOTW,22694308,NA,iucn-bli,0,NA,1,Alaska
ITS-176832,LC,Larus canus,22694308,Unknown,LC,BOTW,22694308,NA,iucn-bli,0,NA,4,Russia
ITS-176832,LC,Larus canus,22694308,Unknown,LC,BOTW,22694308,NA,iucn-bli,0,NA,5,svalbard
ITS-176832,LC,Larus canus,22694308,Unknown,LC,BOTW,22694308,NA,iucn-bli,0,NA,6,norway
ITS-176832,LC,Larus canus,22694308,Unknown,LC,BOTW,22694308,NA,iucn-bli,0,NA,7,Jan Mayen
ITS-176832,LC,Larus canus,22694308,Unknown,LC,BOTW,22694308,NA,iucn-bli,0,NA,9,east
ITS-176831,LC,Larus crassirostris,22694289,Stable,LC,BOTW,22694289,NA,iucn-bli,0,0,8,west
ITS-176830,LC,Larus delawarensis,22694317,Increasing,LC,BOTW,22694317,NA,iucn-bli,0,0.5,4,Russia
ITS-176830,LC,Larus delawarensis,22694317,Increasing,LC,BOTW,22694317,NA,iucn-bli,0,0.5,5,svalbard
ITS-176830,LC,Larus delawarensis,22694317,Increasing,LC,BOTW,22694317,NA,iucn-bli,0,0.5,6,norway
ITS-176830,LC,Larus delawarensis,22694317,Increasing,LC,BOTW,22694317,NA,iucn-bli,0,0.5,7,Jan Mayen
ITS-176830,LC,Larus delawarensis,22694317,Increasing,LC,BOTW,22694317,NA,iucn-bli,0,0.5,8,west
ITS-176830,LC,Larus delawarensis,22694317,Increasing,LC,BOTW,22694317,NA,iucn-bli,0,0.5,9,east
ITS-176821,LC,Larus fuscus,22694373,Increasing,LC,BOTW,22694373,NA,iucn-bli,0,0.5,4,Russia
ITS-176821,LC,Larus fuscus,22694373,Increasing,LC,BOTW,22694373,NA,iucn-bli,0,0.5,5,svalbard
ITS-176821,LC,Larus fuscus,22694373,Increasing,LC,BOTW,22694373,NA,iucn-bli,0,0.5,6,norway
ITS-176821,LC,Larus fuscus,22694373,Increasing,LC,BOTW,22694373,NA,iucn-bli,0,0.5,7,Jan Mayen
ITS-176821,LC,Larus fuscus,22694373,Increasing,LC,BOTW,22694373,NA,iucn-bli,0,0.5,9,east
ITS-176814,LC,Larus glaucescens,22694334,Increasing,LC,BOTW,22694334,NA,iucn-bli,0,0.5,1,Alaska
ITS-176808,LC,Larus hyperboreus,22694343,Stable,LC,BOTW,22694343,NA,iucn-bli,0,0,1,Alaska
ITS-176808,LC,Larus hyperboreus,22694343,Stable,LC,BOTW,22694343,NA,iucn-bli,0,0,2,Nunavut
ITS-176808,LC,Larus hyperboreus,22694343,Stable,LC,BOTW,22694343,NA,iucn-bli,0,0,3,Beaufort Sea
ITS-176808,LC,Larus hyperboreus,22694343,Stable,LC,BOTW,22694343,NA,iucn-bli,0,0,4,Russia
ITS-176808,LC,Larus hyperboreus,22694343,Stable,LC,BOTW,22694343,NA,iucn-bli,0,0,5,svalbard
ITS-176808,LC,Larus hyperboreus,22694343,Stable,LC,BOTW,22694343,NA,iucn-bli,0,0,6,norway
ITS-176808,LC,Larus hyperboreus,22694343,Stable,LC,BOTW,22694343,NA,iucn-bli,0,0,7,Jan Mayen
ITS-176808,LC,Larus hyperboreus,22694343,Stable,LC,BOTW,22694343,NA,iucn-bli,0,0,8,west
ITS-176808,LC,Larus hyperboreus,22694343,Stable,LC,BOTW,22694343,NA,iucn-bli,0,0,9,east
ITS-176815,LC,Larus marinus,22694324,Increasing,LC,BOTW,22694324,NA,iucn-bli,0,0.5,2,Nunavut
ITS-176815,LC,Larus marinus,22694324,Increasing,LC,BOTW,22694324,NA,iucn-bli,0,0.5,4,Russia
ITS-176815,LC,Larus marinus,22694324,Increasing,LC,BOTW,22694324,NA,iucn-bli,0,0.5,5,svalbard
ITS-176815,LC,Larus marinus,22694324,Increasing,LC,BOTW,22694324,NA,iucn-bli,0,0.5,6,norway
ITS-176815,LC,Larus marinus,22694324,Increasing,LC,BOTW,22694324,NA,iucn-bli,0,0.5,7,Jan Mayen
ITS-176815,LC,Larus marinus,22694324,Increasing,LC,BOTW,22694324,NA,iucn-bli,0,0.5,8,west
ITS-176815,LC,Larus marinus,22694324,Increasing,LC,BOTW,22694324,NA,iucn-bli,0,0.5,9,east
ITS-176858,LC,Larus melanocephalus,22694443,Stable,LC,BOTW,22694443,NA,iucn-bli,0,0,4,Russia
ITS-176858,LC,Larus melanocephalus,22694443,Stable,LC,BOTW,22694443,NA,iucn-bli,0,0,5,svalbard
ITS-176858,LC,Larus melanocephalus,22694443,Stable,LC,BOTW,22694443,NA,iucn-bli,0,0,6,norway
ITS-176858,LC,Larus melanocephalus,22694443,Stable,LC,BOTW,22694443,NA,iucn-bli,0,0,7,Jan Mayen
ITS-176858,LC,Larus melanocephalus,22694443,Stable,LC,BOTW,22694443,NA,iucn-bli,0,0,9,east
ITS-176835,LC,Larus ridibundus,22694420,Decreasing,LC,BOTW,22694420,NA,iucn-bli,0,-0.5,4,Russia
ITS-176835,LC,Larus ridibundus,22694420,Decreasing,LC,BOTW,22694420,NA,iucn-bli,0,-0.5,6,norway
ITS-176835,LC,Larus ridibundus,22694420,Decreasing,LC,BOTW,22694420,NA,iucn-bli,0,-0.5,8,west
ITS-176835,LC,Larus ridibundus,22694420,Decreasing,LC,BOTW,22694420,NA,iucn-bli,0,-0.5,9,east
ITS-174594,LC,Macronectes giganteus,22697852,Increasing,LC,BOTW,22697852,NA,iucn-bli,0,0.5,4,Russia
ITS-174594,LC,Macronectes giganteus,22697852,Increasing,LC,BOTW,22697852,NA,iucn-bli,0,0.5,5,svalbard
ITS-174594,LC,Macronectes giganteus,22697852,Increasing,LC,BOTW,22697852,NA,iucn-bli,0,0.5,6,norway
ITS-174594,LC,Macronectes giganteus,22697852,Increasing,LC,BOTW,22697852,NA,iucn-bli,0,0.5,7,Jan Mayen
ITS-174594,LC,Macronectes giganteus,22697852,Increasing,LC,BOTW,22697852,NA,iucn-bli,0,0.5,9,east
ITS-175163,EN,Melanitta fusca,22724845,Decreasing,LC,BOTW,22724845,NA,iucn-bli,0,-0.5,4,Russia
ITS-175163,EN,Melanitta fusca,22724845,Decreasing,LC,BOTW,22724845,NA,iucn-bli,0,-0.5,5,svalbard
ITS-175163,EN,Melanitta fusca,22724845,Decreasing,LC,BOTW,22724845,NA,iucn-bli,0,-0.5,6,norway
ITS-175163,EN,Melanitta fusca,22724845,Decreasing,LC,BOTW,22724845,NA,iucn-bli,0,-0.5,7,Jan Mayen
ITS-175163,EN,Melanitta fusca,22724845,Decreasing,LC,BOTW,22724845,NA,iucn-bli,0,-0.5,8,west
ITS-175163,EN,Melanitta fusca,22724845,Decreasing,LC,BOTW,22724845,NA,iucn-bli,0,-0.5,9,east
ITS-175163,EN,Melanitta fusca,22724836,Decreasing,VU,BOTW,22724836,NA,iucn-bli,0.4,-0.5,4,Russia
ITS-175163,EN,Melanitta fusca,22724836,Decreasing,VU,BOTW,22724836,NA,iucn-bli,0.4,-0.5,5,svalbard
ITS-175163,EN,Melanitta fusca,22724836,Decreasing,VU,BOTW,22724836,NA,iucn-bli,0.4,-0.5,6,norway
ITS-175163,EN,Melanitta fusca,22724836,Decreasing,VU,BOTW,22724836,NA,iucn-bli,0.4,-0.5,7,Jan Mayen
ITS-175163,EN,Melanitta fusca,22724836,Decreasing,VU,BOTW,22724836,NA,iucn-bli,0.4,-0.5,8,west
ITS-175163,EN,Melanitta fusca,22724836,Decreasing,VU,BOTW,22724836,NA,iucn-bli,0.4,-0.5,9,east
ITS-175171,LC,Melanitta nigra,22724879,Unknown,LC,BOTW,22724879,NA,iucn-bli,0,NA,4,Russia
ITS-175171,LC,Melanitta nigra,22724879,Unknown,LC,BOTW,22724879,NA,iucn-bli,0,NA,5,svalbard
ITS-175171,LC,Melanitta nigra,22724879,Unknown,LC,BOTW,22724879,NA,iucn-bli,0,NA,6,norway
ITS-175171,LC,Melanitta nigra,22724879,Unknown,LC,BOTW,22724879,NA,iucn-bli,0,NA,7,Jan Mayen
ITS-175171,LC,Melanitta nigra,22724879,Unknown,LC,BOTW,22724879,NA,iucn-bli,0,NA,9,east
ITS-175170,LC,Melanitta perspicillata,22680441,Decreasing,LC,BOTW,22680441,NA,iucn-bli,0,-0.5,1,Alaska
ITS-175170,LC,Melanitta perspicillata,22680441,Decreasing,LC,BOTW,22680441,NA,iucn-bli,0,-0.5,4,Russia
ITS-175170,LC,Melanitta perspicillata,22680441,Decreasing,LC,BOTW,22680441,NA,iucn-bli,0,-0.5,8,west
ITS-175187,LC,Mergus serrator,22680485,Stable,LC,BOTW,22680485,NA,iucn-bli,0,0,1,Alaska
ITS-175187,LC,Mergus serrator,22680485,Stable,LC,BOTW,22680485,NA,iucn-bli,0,0,4,Russia
ITS-175187,LC,Mergus serrator,22680485,Stable,LC,BOTW,22680485,NA,iucn-bli,0,0,5,svalbard
ITS-175187,LC,Mergus serrator,22680485,Stable,LC,BOTW,22680485,NA,iucn-bli,0,0,6,norway
ITS-175187,LC,Mergus serrator,22680485,Stable,LC,BOTW,22680485,NA,iucn-bli,0,0,7,Jan Mayen
ITS-175187,LC,Mergus serrator,22680485,Stable,LC,BOTW,22680485,NA,iucn-bli,0,0,9,east
ITS-174712,LC,Morus bassanus,22696657,Increasing,LC,BOTW,22696657,NA,iucn-bli,0,0.5,4,Russia
ITS-174712,LC,Morus bassanus,22696657,Increasing,LC,BOTW,22696657,NA,iucn-bli,0,0.5,5,svalbard
ITS-174712,LC,Morus bassanus,22696657,Increasing,LC,BOTW,22696657,NA,iucn-bli,0,0.5,6,norway
ITS-174712,LC,Morus bassanus,22696657,Increasing,LC,BOTW,22696657,NA,iucn-bli,0,0.5,7,Jan Mayen
ITS-174712,LC,Morus bassanus,22696657,Increasing,LC,BOTW,22696657,NA,iucn-bli,0,0.5,9,east
ITS-174628,LC,Oceanodroma leucorhoa,22698511,Stable,LC,BOTW,22698511,NA,iucn-bli,0,0,1,Alaska
ITS-174628,LC,Oceanodroma leucorhoa,22698511,Stable,LC,BOTW,22698511,NA,iucn-bli,0,0,4,Russia
ITS-174628,LC,Oceanodroma leucorhoa,22698511,Stable,LC,BOTW,22698511,NA,iucn-bli,0,0,5,svalbard
ITS-174628,LC,Oceanodroma leucorhoa,22698511,Stable,LC,BOTW,22698511,NA,iucn-bli,0,0,6,norway
ITS-174628,LC,Oceanodroma leucorhoa,22698511,Stable,LC,BOTW,22698511,NA,iucn-bli,0,0,7,Jan Mayen
ITS-174628,LC,Oceanodroma leucorhoa,22698511,Stable,LC,BOTW,22698511,NA,iucn-bli,0,0,8,west
ITS-174628,LC,Oceanodroma leucorhoa,22698511,Stable,LC,BOTW,22698511,NA,iucn-bli,0,0,9,east
ITS-176851,NT,Pagophila eburnea,22694473,Decreasing,NT,BOTW,22694473,NA,iucn-bli,0.2,-0.5,2,Nunavut
ITS-176851,NT,Pagophila eburnea,22694473,Decreasing,NT,BOTW,22694473,NA,iucn-bli,0.2,-0.5,4,Russia
ITS-176851,NT,Pagophila eburnea,22694473,Decreasing,NT,BOTW,22694473,NA,iucn-bli,0.2,-0.5,8,west
ITS-174733,LC,Phalacrocorax aristotelis,22696894,Decreasing,LC,BOTW,22696894,NA,iucn-bli,0,-0.5,4,Russia
ITS-174733,LC,Phalacrocorax aristotelis,22696894,Decreasing,LC,BOTW,22696894,NA,iucn-bli,0,-0.5,5,svalbard
